"bill","policy","sponsor","cosponsors"
"S_3034","Foreign Trade and International Finance","Sen. Peters, Gary C. [D-MI]","Sen. Cortez Masto, Catherine  [D-NV]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Lee, Mike [R-UT]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Whitehouse, Sheldon [D-RI]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Booker, Cory A. [D-NJ]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Blumenthal, Richard [D-CT]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Coons, Christopher A. [D-DE]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Harris, Kamala D. [D-CA]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Klobuchar, Amy [D-MN]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Hirono, Mazie K. [D-HI]"
"S_3035","Crime and Law Enforcement","Sen. Durbin, Richard J. [D-IL]","Sen. Leahy, Patrick J. [D-VT]"
"S_3036","Finance and Financial Sector","Sen. Jones, Doug [D-AL]","Sen. Cotton, Tom [R-AR]"
"S_3036","Finance and Financial Sector","Sen. Jones, Doug [D-AL]","Sen. Merkley, Jeff [D-OR]"
"S_3037","International Affairs","Sen. Shaheen, Jeanne [D-NH]","Sen. Collins, Susan M. [R-ME]"
"S_3037","International Affairs","Sen. Shaheen, Jeanne [D-NH]","Sen. Isakson, Johnny [R-GA]"
"S_3038","Government Operations and Politics","Sen. Peters, Gary C. [D-MI]","Sen. Ernst, Joni  [R-IA]"
"S_3038","Government Operations and Politics","Sen. Peters, Gary C. [D-MI]","Sen. Enzi, Michael B. [R-WY]"
"S_3038","Government Operations and Politics","Sen. Peters, Gary C. [D-MI]","Sen. Carper, Thomas R. [D-DE]"
"S_3039","Armed Forces and National Security","Sen. Tester, Jon [D-MT]","Sen. Rounds, Mike  [R-SD]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Tester, Jon [D-MT]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Capito, Shelley Moore [R-WV]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Jones, Doug [D-AL]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Boozman, John [R-AR]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Manchin, Joe, III [D-WV]"
"S_304","Health","Sen. Collins, Susan M. [R-ME]","Sen. Harris, Kamala D. [D-CA]"
"S_3040","Education","Sen. Rosen, Jacky [D-NV]","Sen. Wicker, Roger F. [R-MS]"
"S_3040","Education","Sen. Rosen, Jacky [D-NV]","Sen. Hassan, Margaret Wood [D-NH]"
"S_3040","Education","Sen. Rosen, Jacky [D-NV]","Sen. Romney, Mitt  [R-UT]"
"S_3040","Education","Sen. Rosen, Jacky [D-NV]","Sen. Wyden, Ron [D-OR]"
"S_3041","Armed Forces and National Security","Sen. Hassan, Margaret Wood [D-NH]","Sen. Ernst, Joni  [R-IA]"
"S_3041","Armed Forces and National Security","Sen. Hassan, Margaret Wood [D-NH]","Sen. Sinema, Kyrsten [D-AZ]"
"S_3042","Transportation and Public Works","Sen. Feinstein, Dianne [D-CA]","Sen. Feinstein, Dianne [D-CA]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Moran, Jerry [R-KS]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Duckworth, Tammy [D-IL]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Capito, Shelley Moore [R-WV]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Burr, Richard [R-NC]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Hoeven, John [R-ND]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Peters, Gary C. [D-MI]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Fischer, Deb [R-NE]"
"S_3043","Transportation and Public Works","Sen. Inhofe, James M. [R-OK]","Sen. Baldwin, Tammy [D-WI]"
"S_3044","Native Americans","Sen. Wyden, Ron [D-OR]","Sen. Merkley, Jeff [D-OR]"
"S_3045","Science, Technology, Communications","Sen. Johnson, Ron [R-WI]","Sen. Hassan, Margaret Wood [D-NH]"
"S_3045","Science, Technology, Communications","Sen. Johnson, Ron [R-WI]","Sen. Wyden, Ron [D-OR]"
"S_3045","Science, Technology, Communications","Sen. Johnson, Ron [R-WI]","Sen. King, Angus S., Jr. [I-ME]"
"S_3046","Energy","Sen. Merkley, Jeff [D-OR]","Sen. Merkley, Jeff [D-OR]"
"S_3047","Energy","Sen. Barrasso, John [R-WY]","Sen. Capito, Shelley Moore [R-WV]"
"S_3047","Energy","Sen. Barrasso, John [R-WY]","Sen. Manchin, Joe, III [D-WV]"
